2023-05-15 19:35:09 status unpacked liblz4-1:arm64 1.9.3-2
2023-05-15 19:35:10 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2023-05-15 19:35:10 status half-configured mawk:arm64 1.3.4.20200120-2
2023-05-15 19:35:10 status unpacked mawk:arm64 1.3.4.20200120-2
2023-05-15 19:35:10 status half-installed mawk:arm64 1.3.4.20200120-2
2023-05-15 19:35:10 status unpacked mawk:arm64 1.3.4.20200120-2
2023-05-15 19:35:10 install libtinfo6:arm64 <none> 6.2+20201114-2
2023-05-15 19:35:10 status half-installed libtinfo6:arm64 6.2+20201114-2
2023-05-15 19:35:10 status unpacked libtinfo6:arm64 6.2+20201114-2
2023-05-15 19:35:10 install ncurses-base:all <none> 6.2+20201114-2
2023-05-15 19:35:10 status half-installed ncurses-base:all 6.2+20201114-2
2023-05-15 19:35:10 status unpacked ncurses-base:all 6.2+20201114-2
2023-05-15 19:35:10 install ncurses-bin:arm64 <none> 6.2+20201114-2
2023-05-15 19:35:10 status half-installed ncurses-bin:arm64 6.2+20201114-2
2023-05-15 19:35:10 status unpacked ncurses-bin:arm64 6.2+20201114-2
2023-05-15 19:35:11 install libhogweed6:arm64 <none> 3.7.3-1
2023-05-15 19:35:11 status half-installed libhogweed6:arm64 3.7.3-1
2023-05-15 19:35:11 status unpacked libhogweed6:arm64 3.7.3-1
2023-05-15 19:35:11 install libnettle8:arm64 <none> 3.7.3-1
2023-05-15 19:35:11 status half-installed libnettle8:arm64 3.7.3-1
2023-05-15 19:35:11 status unpacked libnettle8:arm64 3.7.3-1
2023-05-15 19:35:11 install libssl1.1:arm64 <none> 1.1.1k-1+deb11u1
2023-05-15 19:35:11 status half-installed libssl1.1:arm64 1.1.1k-1+deb11u1
2023-05-15 19:35:11 status unpacked libssl1.1:arm64 1.1.1k-1+deb11u1
2023-05-15 19:35:12 install libp11-kit0:arm64 <none> 0.23.22-1
2023-05-15 19:35:12 status half-installed libp11-kit0:arm64 0.23.22-1
2023-05-15 19:35:12 status unpacked libp11-kit0:arm64 0.23.22-1
2023-05-15 19:35:12 install libpam-modules:arm64 <none> 1.4.0-9+deb11u1
2023-05-15 19:35:12 status half-installed libpam-modules:arm64 1.4.0-9+deb11u1
2023-05-15 19:35:12 status unpacked libpam-modules:arm64 1.4.0-9+deb11u1
2023-05-15 19:35:13 install libpam-modules-bin:arm64 <none> 1.4.0-9+deb11u1
2023-05-15 19:35:13 status half-installed libpam-modules-bin:arm64 1.4.0-9+deb11u1
2023-05-15 19:35:13 status unpacked libpam-modules-bin:arm64 1.4.0-9+deb11u1
2023-05-15 19:35:13 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2023-05-15 19:35:13 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2023-05-15 19:35:13 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2023-05-15 19:35:13 install libpam0g:arm64 <none> 1.4.0-9+deb11u1
2023-05-15 19:35:13 status half-installed libpam0g:arm64 1.4.0-9+deb11u1
